exec_time, invoke_time, access_time, resides_time
459.43, 55.89, 2.13, 433.70
428.06, 50.24, 2.49, 438.46
431.21, 62.50, 2.12, 424.89
467.58, 62.41, 2.12, 444.27
416.90, 48.90, 2.30, 425.25
445.77, 55.37, 2.08, 429.25
465.20, 54.60, 2.10, 435.36
431.43, 46.14, 2.12, 430.02
433.00, 56.64, 2.08, 437.16
443.63, 54.09, 2.32, 434.70
442.90, 53.56, 2.30, 425.43
440.20, 53.92, 2.45, 428.55
446.56, 56.75, 2.12, 443.94
461.48, 57.39, 2.36, 442.01
436.02, 57.53, 2.36, 431.29
428.93, 58.81, 2.56, 413.62
425.74, 53.74, 2.95, 429.85
405.01, 51.62, 3.09, 407.96
410.44, 51.95, 3.12, 411.27
414.66, 57.01, 2.25, 423.10
423.84, 54.41, 2.31, 426.68
441.96, 58.35, 2.32, 418.98
436.22, 48.62, 2.43, 411.10
456.62, 51.83, 2.35, 432.47
449.71, 56.52, 3.23, 441.97
443.06, 49.00, 2.79, 433.43
509.84, 57.89, 2.17, 461.46
444.84, 50.85, 2.50, 433.39
440.34, 56.52, 2.15, 424.10
433.82, 51.81, 2.41, 436.84
420.75, 51.73, 2.18, 431.00
440.67, 566.96, 2.14, 951.90
441.38, 51.29, 2.15, 430.80
462.98, 53.22, 2.32, 460.96
427.34, 46.94, 2.32, 437.83
448.23, 53.89, 2.39, 443.77
446.40, 47.20, 2.16, 431.45
431.32, 50.88, 2.24, 434.44
445.29, 55.47, 2.17, 434.17
423.62, 56.59, 2.63, 432.57
430.73, 53.45, 2.63, 436.39
434.71, 50.16, 3.36, 438.97
417.98, 52.49, 2.37, 429.60
458.53, 54.56, 2.49, 440.10
422.49, 48.04, 2.21, 435.14
448.53, 60.49, 2.56, 437.50
423.59, 49.51, 2.65, 431.82
434.49, 61.35, 2.14, 413.75
440.00, 56.56, 2.26, 433.84
428.90, 50.44, 2.23, 428.63
442.36, 57.50, 2.28, 434.35
459.39, 53.86, 2.50, 440.13
428.88, 56.51, 2.79, 436.46
435.33, 52.47, 2.20, 441.18
436.37, 57.59, 2.75, 438.79
446.10, 63.34, 2.15, 423.86
458.10, 58.89, 2.27, 433.94
421.90, 55.48, 2.38, 433.09
436.41, 56.44, 2.25, 431.90
467.62, 59.76, 2.14, 436.75
435.90, 55.07, 2.27, 432.76
448.33, 54.28, 2.23, 447.57
432.56, 56.69, 2.55, 430.71
438.96, 53.11, 2.38, 444.43
414.35, 60.87, 2.32, 421.95
444.04, 55.60, 2.37, 437.90
450.66, 53.08, 2.27, 438.65
466.81, 51.43, 2.49, 444.63
442.30, 56.37, 2.36, 422.45
449.53, 55.62, 2.33, 435.45
444.66, 57.07, 2.39, 421.44
434.50, 50.50, 2.30, 410.83
435.68, 60.33, 2.12, 429.79
445.55, 56.96, 2.08, 437.82
420.77, 49.23, 2.10, 427.86
419.02, 63.25, 2.29, 409.77
396.28, 50.34, 2.54, 406.98
408.01, 50.14, 2.32, 413.47
399.62, 51.67, 2.28, 404.81
401.03, 46.28, 2.71, 406.76
428.77, 53.91, 2.40, 412.02
417.42, 49.57, 2.32, 413.31
431.93, 51.95, 2.13, 435.80
436.76, 56.69, 2.43, 415.23
438.56, 52.37, 2.13, 439.21
466.70, 54.14, 2.33, 443.61
401.67, 44.75, 2.66, 410.17
530.20, 53.28, 2.40, 527.85
417.42, 47.38, 2.93, 424.14
432.81, 55.23, 3.09, 424.08
430.33, 47.97, 2.41, 427.04
419.84, 60.81, 2.46, 411.57
430.62, 48.86, 2.25, 436.25
422.85, 55.21, 2.35, 413.18
463.67, 55.35, 2.32, 453.15
466.33, 51.40, 2.56, 445.40
447.47, 46.57, 2.35, 440.26
441.91, 53.15, 2.34, 436.70
414.56, 56.97, 2.35, 416.22
449.72, 59.99, 2.29, 434.05
404.20, 47.24, 2.38, 405.74
419.07, 51.82, 3.24, 429.39
425.44, 51.08, 2.24, 408.02
432.91, 54.60, 2.81, 421.33
404.40, 51.56, 2.37, 408.86
436.25, 52.25, 2.31, 404.74
470.91, 58.89, 2.41, 448.09
440.97, 47.01, 2.34, 447.75
433.74, 51.36, 2.31, 440.30
449.84, 57.67, 2.12, 435.96
452.59, 51.46, 2.59, 436.78
440.76, 52.54, 2.35, 434.78
433.01, 60.78, 2.92, 416.60
